filename,slug,article_topic,cta_type,partner,location,intent_match,action
2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,chinabound-travel-guide-2026-08-monthly-update,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),table,yes,kept
2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,chinabound-travel-guide-2026-08-monthly-update,Itinerary / Destination,Insurance,SafetyWing (Insurance),table,yes,kept
2026-08-01-chinabound-travel-guide-2026-08-monthly-update.md,chinabound-travel-guide-2026-08-monthly-update,Itinerary / Destination,eSIM,Airalo (eSIM),table,yes,kept
2026-08-03-chinese-language-survival-phrases-guide.md,chinese-language-survival-phrases-guide,Language / Cultural,Flight,Aviasales (Flights),table,yes,kept
2026-08-03-chinese-language-survival-phrases-guide.md,chinese-language-survival-phrases-guide,Language / Cultural,Insurance,SafetyWing (Insurance),table,yes,kept
2026-08-03-chinese-language-survival-phrases-guide.md,chinese-language-survival-phrases-guide,Language / Cultural,eSIM,Airalo (eSIM),table,yes,kept
2026-09-08-alipay-vs-wechat-pay-which-tourists-should-use-china-2026.md,alipay-vs-wechat-pay-which-tourists-should-use-china-2026,Payment (WeChat/Alipay),eSIM,Airalo (eSIM),table,yes,kept
2026-09-08-alipay-vs-wechat-pay-which-tourists-should-use-china-2026.md,alipay-vs-wechat-pay-which-tourists-should-use-china-2026,Payment (WeChat/Alipay),Insurance,SafetyWing (Insurance),table,yes,kept
2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,china-visa-free-entry-2026-complete-guide-countries-rules-tips,Visa / Visa-Free,Insurance,SafetyWing (Insurance),body,yes,kept
2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,china-visa-free-entry-2026-complete-guide-countries-rules-tips,Visa / Visa-Free,eSIM,Airalo (eSIM),body,yes,kept
2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,china-visa-free-entry-2026-complete-guide-countries-rules-tips,Visa / Visa-Free,Insurance,SafetyWing (Insurance),table,yes,kept
2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,china-visa-free-entry-2026-complete-guide-countries-rules-tips,Visa / Visa-Free,eSIM,Airalo (eSIM),table,yes,kept
2026-09-08-china-visa-free-entry-2026-complete-guide-countries-rules-tips.md,china-visa-free-entry-2026-complete-guide-countries-rules-tips,Visa / Visa-Free,Flight,Aviasales (Flights),table,yes,kept
alipay-wechat-pay-foreigners-guide.md,alipay-wechat-pay-foreigners-guide,Payment (WeChat/Alipay),Insurance,SafetyWing (Insurance),table,yes,kept
alipay-wechat-pay-foreigners-guide.md,alipay-wechat-pay-foreigners-guide,Payment (WeChat/Alipay),eSIM,Airalo (eSIM),table,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (safetywing),SafetyWing,body,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (safetywing),SafetyWing,body,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (worldnomads),World Nomads,body,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (allianz),Allianz,body,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (safetywing),SafetyWing,table,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (worldnomads),World Nomads,table,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,A/B Test (allianz),Allianz,table,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,Insurance,SafetyWing (Insurance),body,yes,kept
best-travel-insurance-china.md,best-travel-insurance-china,Travel Insurance,eSIM,Airalo (eSIM),body,yes,kept
china-airport-transfer-guide.md,china-airport-transfer-guide,High-speed rail / Transportation,Inline link (klook),Klook (Tours),table,yes,kept
china-airport-transfer-guide.md,china-airport-transfer-guide,High-speed rail / Transportation,Inline link (trip),Trip.com,table,yes,kept
china-airport-transfer-guide.md,china-airport-transfer-guide,High-speed rail / Transportation,Inline link (esim),Airalo (eSIM),table,yes,kept
china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,china-extends-144-hour-visa-free-transit-policy-to-more-countries,Visa / Visa-Free,Flight,Aviasales (Flights),body,yes,kept
china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,china-extends-144-hour-visa-free-transit-policy-to-more-countries,Visa / Visa-Free,Insurance,SafetyWing (Insurance),body,yes,kept
china-extends-144-hour-visa-free-transit-policy-to-more-countries.md,china-extends-144-hour-visa-free-transit-policy-to-more-countries,Visa / Visa-Free,eSIM,Airalo (eSIM),body,yes,kept
china-transportation-card-guide.md,china-transportation-card-guide,High-speed rail / Transportation,Inline link (trip),Trip.com,table,yes,kept
china-transportation-card-guide.md,china-transportation-card-guide,High-speed rail / Transportation,Inline link (klook),Klook (Tours),table,yes,kept
china-transportation-card-guide.md,china-transportation-card-guide,High-speed rail / Transportation,Inline link (esim),Airalo (eSIM),table,yes,kept
internet-connection-china-esim-vpn-guide.md,internet-connection-china-esim-vpn-guide,eSIM / Internet / VPN,VPN,NordVPN (VPN),body,yes,kept
internet-connection-china-esim-vpn-guide.md,internet-connection-china-esim-vpn-guide,eSIM / Internet / VPN,VPN,NordVPN (VPN),body,yes,kept
internet-connection-china-esim-vpn-guide.md,internet-connection-china-esim-vpn-guide,eSIM / Internet / VPN,eSIM,Airalo (eSIM),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,Hotel,Booking (Hotels),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,Flight,Aviasales (Flights),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,Insurance,SafetyWing (Insurance),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,eSIM,Airalo (eSIM),body,yes,kept
western-sichuan-overland-camping-route.md,western-sichuan-overland-camping-route,Itinerary / Destination,Tour/Activity,Klook (Tours/Activities),body,yes,kept
